Date,Open,High,Low,Last,Vol,Diff,Hash,LS,LS_TH_S,LS_P,LS_MWh_TH,HS,HS_TH_S,HS_P,HS_MWh_TH,UK_EP,US_EP,AUS_EP,RU_EP
2014-01-02,751.88,798.7,742.5,784.19,14908245.31,1180923195,11740.80209,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.137635,55.60062,44.320185,28.0706
2014-01-03,784.19,818.99,767.62,809.4,29592240.05,1418481395,11493.6341,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.96175,69.75687,46.020678,28.0706
2014-01-04,808.24,830,790.2,828.79,29592240.05,1418481395,11493.6341,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.96175,74.80063,45.233694,30.5971
2014-01-05,828.79,948,826.07,905,94662992.12,1418481395,12692.35667,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.96175,42.55938,44.35728,29.2405
2014-01-06,905,995,876,919.24,94662992.12,1418481395,12692.35667,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,75.4584,51.63875,44.693494,29.2405
2014-01-07,915.8,943,785,786.33,110115151.4,1418481395,13185.94832,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.57673,137.345,43.241625,29.3367
2014-01-08,785,849.79,765,823.45,110115151.4,1418481395,13185.94832,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,78.369955,132.05624,42.911721,29.3367
2014-01-09,823.94,848,779.78,824.76,52410464.41,1418481395,12762.86976,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,79.0992,115.99187,44.288205,32.3889
2014-01-10,825.5,861.4,799.41,852.61,52410464.41,1418481395,12762.86976,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,79.0992,57.61,46.04416,31.3011
2014-01-11,851.63,909.96,849.51,896.32,34383903.02,1418481395,14596.21017,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,79.0992,34.25625,44.713196,30.2231
2014-01-12,895,905,826.46,844.05,34383903.02,1418481395,14596.21017,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,79.0992,32.67313,44.146637,29.9873
2014-01-13,844.04,844.05,783.11,823,45750690.07,1789546951,18058.64887,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,84.03966,35.775,48.808384,31.1260
2014-01-14,823.99,837,800,815.99,45750690.07,1789546951,18058.64887,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.66955,38.06562,50.43375,29.1125
2014-01-15,815.99,850.26,805.18,841.14,28146119.98,1789546951,15211.96531,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,76.1112,38.84,60.579544,29.0428
2014-01-16,841.14,849,810.01,814.4,28146119.98,1789546951,15211.96531,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.84028,39.02562,75.799305,28.5173
2014-01-17,814.4,821,765,797.2,38944885.76,1789546951,13610.7058,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,78.16396,36.5025,52.948896,28.4235
2014-01-18,796.97,817.12,796,810,38944885.76,1789546951,13610.7058,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,78.16396,42.145,44.583462,29.1542
2014-01-19,810,842.07,791.01,842,24316858.69,1789546951,16368.43051,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,78.16396,39.93125,43.135092,27.4107
2014-01-20,841.5,845,815,826.02,24316858.69,1789546951,16368.43051,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,82.145,78.0525,44.723293,28.3102
2014-01-21,826.02,834.5,814,824.89,18566620.02,1789546951,15300.92417,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,84.104875,217.80313,44.06022,28.2216
2014-01-22,824.88,824.99,801,819.2,18566620.02,1789546951,15300.92417,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,81.2126,255.21063,44.538232,29.6505
2014-01-23,819.2,823.28,801.1,811.22,15575698.23,1789546951,15834.67734,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.93966,312.32562,44.308418,29.7459
2014-01-24,810.95,811.74,767.02,780,15575698.23,1789546951,15834.67734,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,78.77918,319.79376,43.014355,29.2286
2014-01-25,780,817,773.4,806.8,24914520.39,2193847870,16903.79922,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,78.77918,118.75437,41.451775,29.4596
2014-01-26,806.81,834,795.01,814.75,24914520.39,2193847870,16903.79922,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,78.77918,156.89874,38.856156,27.2509
2014-01-27,814.67,823,725,751.95,49146212.02,2193847870,17558.13983,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.69604,251.27063,#N/A,28.9166
2014-01-28,750.95,812.93,740.01,788,49146212.02,2193847870,17558.13983,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,75.176695,340.5275,44.389008,29.1463
2014-01-29,785.51,804.95,781.99,794.21,17741130.59,2193847870,17230.96953,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,81.8892,321.17938,43.196877,28.1274
2014-01-30,794.21,812.44,770.7,799.99,17741130.59,2193847870,17230.96953,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.4748,112.19063,45.20697,29.0379
2014-01-31,799.99,809.98,791,803,17065995.93,2193847870,20066.44552,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,75.488608,57.84438,46.093298,28.9326
2014-02-01,803,827.38,802.59,813.23,17065995.93,2193847870,20066.44552,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,75.488608,44.41687,43.800012,28.9181
2014-02-02,813.23,825.21,810.23,814.99,11282778.06,2193847870,19412.10491,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,75.488608,38.945,43.870036,27.4460
2014-02-03,814.94,815,800.5,808.5,11282778.06,2193847870,19412.10491,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,75.97664,40.9825,44.312302,29.8713
2014-02-04,806.99,812.98,796.83,802.77,16606614.55,2193847870,18430.59399,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,73.458,40.34375,42.362228,31.2168
2014-02-05,802,810,775,782.33,16606614.55,2193847870,18430.59399,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,73.54908,44.82813,41.8488,31.4409
2014-02-06,780.01,803,752,763.75,49922126.96,2621404453,21761.8906,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,76.1328,70.00938,45.378872,30.5315
2014-02-07,764,766.45,619,705.01,49922126.96,2621404453,21761.8906,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.204345,96.74812,46.42272,30.7334
2014-02-08,705.01,723,662.01,680.49,37227071.5,2621404453,22804.37638,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.204345,60.80125,44.64963,31.3816
2014-02-09,680.49,755.42,666.21,687.37,37227071.5,2621404453,22804.37638,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.204345,90.9125,44.54217,29.4060
2014-02-10,688,713,530,687.81,112487352.1,2621404453,19937.54049,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,75.194,103.52125,47.494314,29.9971
2014-02-11,688.34,720,631,675.1,112487352.1,2621404453,19937.54049,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,76.4832,165.94687,47.25828,29.8602
2014-02-12,677,685.19,631.58,651.99,25382420.94,2621404453,21761.8906,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,76.3324,173.50063,48.206208,30.0833
2014-02-13,650.04,660,601.54,604.12,25382420.94,2621404453,21761.8906,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.45505,91.16438,48.332168,31.6196
2014-02-14,609.4,712.9,538.01,669,102323406.4,2621404453,24889.34793,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.635472,53.60563,47.550476,29.4995
2014-02-15,670.34,673.17,628.88,655.83,102323406.4,2621404453,24889.34793,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.635472,56.51062,45.492092,29.5704
2014-02-16,655.83,670,590.01,621,40090511.68,2621404453,25149.96938,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.635472,90.63625,43.60524,29.0238
2014-02-17,621,664.99,610,633.19,40090511.68,2621404453,25149.96938,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,79.136055,95.48187,45.010504,33.2651
2014-02-18,633.66,650,609.99,627.7,20002597.32,3129573175,25980.5117,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,77.90961,84.15562,46.784255,30.4994
2014-02-19,627.7,636,617,623.68,20002597.32,3129573175,25980.5117,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,72.303465,47.61625,45.668772,30.0110
2014-02-20,623.01,631,560.9,561.86,47431767.35,3129573175,26602.7994,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.67925,61.1175,45.268135,30.0013
2014-02-21,561.86,589,530.01,581.35,47431767.35,3129573175,26602.7994,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,71.85555,49.33125,43.802094,30.5519
2014-02-22,581.35,619.88,562.15,610.88,31121949.39,3129573175,25513.79592,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,71.85555,47.44625,43.335446,31.6039
2014-02-23,610.77,646,599.78,610.09,31121949.39,3129573175,25513.79592,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,71.85555,57.81562,42.931616,28.2276
2014-02-24,609.9,629,514.02,535.49,58264532.44,3129573175,28314.09059,S1,0.18,299,7.2,S0+,0.5,1129.5,7.56,70.3716,79.07813,46.611565,30.2445
