Date,Last
7/6/2018,0.201138723
7/7/2018,0.206322288
7/8/2018,0.207005729
7/9/2018,0.2097535
7/10/2018,0.206013073
7/11/2018,0.190916386
7/12/2018,0.189496855
7/13/2018,0.184187338
7/14/2018,0.204481176
7/15/2018,0.206872171
7/16/2018,0.218887166
7/17/2018,0.237793092
7/18/2018,0.252287922
7/19/2018,0.299046528
7/20/2018,0.304217459
7/21/2018,0.26984091
7/22/2018,0.290865796
7/23/2018,0.283741744
7/24/2018,0.284917443
7/25/2018,0.300373121
7/26/2018,0.331939508
7/27/2018,0.308500302
7/28/2018,0.31596759
7/29/2018,0.31337117
7/30/2018,0.307781869
7/31/2018,0.296133231
8/1/2018,0.277920241
8/2/2018,0.27770369
8/3/2018,0.259861479
8/4/2018,0.257035814
8/5/2018,0.240443736
8/6/2018,0.244288407
8/7/2018,0.233033984
8/8/2018,0.230245322
8/9/2018,0.19822447
8/10/2018,0.221060541
8/11/2018,0.224693374
8/12/2018,0.217836677
8/13/2018,0.2232595
8/14/2018,0.224037465
8/15/2018,0.216714978
8/16/2018,0.213897812
8/17/2018,0.215706353
8/18/2018,0.238276581
8/19/2018,0.223648099
8/20/2018,0.223945261
8/21/2018,0.212084967
8/22/2018,0.219184176
8/23/2018,0.207743137
8/24/2018,0.218383815
8/25/2018,0.218303665
8/26/2018,0.218649272
8/27/2018,0.212611675
8/28/2018,0.225949783
8/29/2018,0.234609863
8/30/2018,0.224007833
8/31/2018,0.221274067
9/1/2018,0.221207948
9/2/2018,0.229791138
9/3/2018,0.224876222
9/4/2018,0.220736857
9/5/2018,0.231474875
9/6/2018,0.206671574
9/7/2018,0.206739419
9/8/2018,0.205505744
9/9/2018,0.194301693
9/10/2018,0.191639453
9/11/2018,0.19020354
9/12/2018,0.201021962
9/13/2018,0.197706469
9/14/2018,0.208087251
9/15/2018,0.201783416
9/16/2018,0.203962726
9/17/2018,0.201992064
9/18/2018,0.196073391
9/19/2018,0.208791034
9/20/2018,0.206336552
9/21/2018,0.231555915
9/22/2018,0.249804352
9/23/2018,0.240711863
9/24/2018,0.282179341
9/25/2018,0.258927382
9/26/2018,0.252901106
9/27/2018,0.24491699
9/28/2018,0.260727523
9/29/2018,0.254263553
9/30/2018,0.255382919
10/1/2018,0.259508082
10/2/2018,0.258772747
10/3/2018,0.24807295
10/4/2018,0.241316969
10/5/2018,0.244570191
10/6/2018,0.247510487
10/7/2018,0.241335385
10/8/2018,0.245445538
10/9/2018,0.24999343
10/10/2018,0.244060146
10/11/2018,0.240138246
10/12/2018,0.208711102
10/13/2018,0.216583276
10/14/2018,0.21676296
10/15/2018,0.211182958
10/16/2018,0.226034695
10/17/2018,0.231282547
10/18/2018,0.245116964
10/19/2018,0.245631029
10/20/2018,0.245948188
10/21/2018,0.247178841
10/22/2018,0.244538929
10/23/2018,0.245540569
10/24/2018,0.243715333
10/25/2018,0.238868311
10/26/2018,0.236836572
10/27/2018,0.235098972
10/28/2018,0.229322162
10/29/2018,0.232450442
10/30/2018,0.222389249
